City,State,Year,cy,annual_pop,hom,lh,hom_rate,clr_r,clr_lag,clr,clr_lp,unemp,bl,so,south
New York,New York,1990,New York 1990,7322564,2245,,30.65866,0.618262806,,1388,,6.9,,26790,0
New York,New York,1991,New York 1991,,2154,2245,29.14266185,0.597028784,0.62,1286,1388,8.7,,,0
New York,New York,1992,New York 1992,,1995,2154,26.74302885,0.59197995,0.60,1181,1286,11.1,,,0
New York,New York,1993,New York 1993,,1946,1995,25.84827092,0.62024666,0.59,1207,1181,10.4,,28289,0
New York,New York,1994,New York 1994,,1561,1946,20.54701119,0.63933376,0.62,998,1207,8.8,,,0
New York,New York,1995,New York 1995,,1177,1561,15.35376136,0.292268479,0.64,344,998,8.2,,,0
New York,New York,1996,New York 1996,,983,1177,12.70923039,0.644964395,0.29,634,344,8.8,,,0
New York,New York,1997,New York 1997,,770,983,9.867749095,0.877922078,0.64,676,634,9.4,,38328,0
New York,New York,1998,New York 1998,,633,770,8.041301548,0.865718799,0.88,548,676,7.9,,,0
New York,New York,1999,New York 1999,,664,633,8.362170648,0.831325301,0.87,552,548,6.8,,39099,0
New York,New York,2000,New York 2000,8009185,673,664,8.402852475,0.787518574,0.83,530,552,5.8,26.6,40435,0
New York,New York,2001,New York 2001,8017608,660,673,8.231881629,0.656060606,0.79,433,530,5.9,,,0
New York,New York,2002,New York 2002,8059813,587,660,7.283047386,0.279386712,0.66,164,433,8,,,0
New York,New York,2003,New York 2003,8072000,597,587,7.395936571,,0.28,,164,8.3,,35973,0
New York,New York,2004,New York 2004,8068073,570,597,7.064884019,,0.00,,,7.1,,,0
New York,New York,2005,New York 2005,8043366,539,570,6.701174608,,0.00,,,5.8,,,0
New York,New York,2006,New York 2006,8013368,596,539,7.437571817,,0.00,,,5,,,0
New York,New York,2007,New York 2007,7993906,496,596,6.20472645,,0.00,,,5,,35216,0
New York,New York,2008,New York 2008,8013775,523,496,6.526262592,,0.00,,,5.6,,,0
New York,New York,2009,New York 2009,8068195,471,523,5.837736941,,0.00,,,9.3,,,0
New York,New York,2010,New York 2010,8190355,536,471,6.544282879,,0.00,,,9.5,25.5,,0
New York,New York,2011,New York 2011,8272963,515,536,6.225097344,,0.00,,,9.1,,,0
New York,New York,2012,New York 2012,8348032,419,515,5.019147028,,0.00,,,9.3,,,0
New York,New York,2013,New York 2013,8398739,335,419,3.988694017,0.731343284,0.00,245,,8.8,,34454,0
New York,New York,2014,New York 2014,8437387,333,335,3.946719523,0.711711712,0.73,237,245,7.3,,,0
New York,New York,2015,New York 2015,8468181,352,333,4.156736848,0.676136364,0.71,238,237,5.7,,,0
New York,New York,2016,New York 2016,8475976,335,352,3.952347199,0.692537313,0.68,232,238,5.2,,,0
Los Angeles,California,1990,Los Angeles 1990,3485398,1198,,34.37197129,0.626043406,0.69,750,,6.7,,8414,0
Los Angeles,California,1991,Los Angeles 1991,,1253,1198,35.73583885,0.659217877,0.63,826,750,9,,,0
Los Angeles,California,1992,Los Angeles 1992,,1322,1253,37.48047301,0.542360061,0.66,717,826,11.2,,,0
Los Angeles,California,1993,Los Angeles 1993,,1305,1322,36.7807047,0.550191571,0.54,718,717,11.2,,7974,0
Los Angeles,California,1994,Los Angeles 1994,,1054,1305,29.53256175,0.54743833,0.55,577,718,10.5,,,0
Los Angeles,California,1995,Los Angeles 1995,,1076,1054,29.97358091,0.502788104,0.55,541,577,9.1,,,0
Los Angeles,California,1996,Los Angeles 1996,,876,1076,24.26112952,0.543378995,0.50,476,541,9.2,,,0
Los Angeles,California,1997,Los Angeles 1997,,722,876,19.88104417,0.556786704,0.54,402,476,7.8,,9650,0
Los Angeles,California,1998,Los Angeles 1998,,557,722,15.24988734,0.581687612,0.56,324,402,7.5,,,0
Los Angeles,California,1999,Los Angeles 1999,,542,557,14.75483561,0.5,0.58,271,324,6.7,,9888,0
Los Angeles,California,2000,Los Angeles 2000,3694257,661,542,17.89263714,0.34795764,0.50,230,271,6,11.2,9341,0
Los Angeles,California,2001,Los Angeles 2001,3701062,696,661,18.80541315,0.357758621,0.35,249,230,6.3,,,0
Los Angeles,California,2002,Los Angeles 2002,3733328,789,696,21.13395876,0.520912548,0.36,411,249,7.5,,,0
Los Angeles,California,2003,Los Angeles 2003,3762432,659,789,17.51526672,0.512898331,0.52,338,411,7.7,,9307,0
Los Angeles,California,2004,Los Angeles 2004,3784279,688,659,18.18047771,0.501453488,0.51,345,338,7.2,,,0
Los Angeles,California,2005,Los Angeles 2005,3792650,657,688,17.32297997,0.467275495,0.50,307,345,6,,,0
Los Angeles,California,2006,Los Angeles 2006,3788197,615,657,16.23463616,0.510569106,0.47,314,307,5.3,,,0
Los Angeles,California,2007,Los Angeles 2007,3767960,522,615,13.85365025,0.526819923,0.51,275,314,5.7,,9504,0
Los Angeles,California,2008,Los Angeles 2008,3751872,519,522,13.83309452,0.526011561,0.53,273,275,8.4,,,0
Los Angeles,California,2009,Los Angeles 2009,3763566,414,519,11.00020566,0.514492754,0.53,213,273,12.8,,,0
Los Angeles,California,2010,Los Angeles 2010,3795370,379,414,9.985851182,0.406332454,0.51,154,213,13.2,9.6,,0
Los Angeles,California,2011,Los Angeles 2011,3821136,385,379,10.07553775,0.384415584,0.41,148,154,12.9,,,0
Los Angeles,California,2012,Los Angeles 2012,3852532,374,385,9.707901193,0.561497326,0.38,210,148,11.5,,,0
Los Angeles,California,2013,Los Angeles 2013,3883916,323,374,8.316348757,0.919504644,0.56,297,210,10.3,,9920,0
Los Angeles,California,2014,Los Angeles 2014,3913260,331,323,8.458420856,0.628398792,0.92,208,297,8.7,,,0
Los Angeles,California,2015,Los Angeles 2015,3943215,380,331,9.636806514,0.584210526,0.63,222,208,7,,,0
Los Angeles,California,2016,Los Angeles 2016,3969262,387,380,9.749923285,0.643410853,0.58,249,222,5.3,,,0
Chicago,Illinois,1990,Chicago 1990,2783726,851,,30.57053747,0.340775558,0.64,290,,8.8,,12237,0
Chicago,Illinois,1991,Chicago 1991,,925,851,33.09540421,,0.34,,290,9.8,,,0
Chicago,Illinois,1992,Chicago 1992,,939,925,33.46193073,0.19914803,0.00,187,,10.5,,,0
Chicago,Illinois,1993,Chicago 1993,,845,939,29.99221267,0.433136095,0.20,366,187,10.2,,12598,0
Chicago,Illinois,1994,Chicago 1994,,928,845,32.80749425,,0.43,,366,7.9,,,0
Chicago,Illinois,1995,Chicago 1995,,824,928,29.01565789,,0.00,,,7.1,,,0
Chicago,Illinois,1996,Chicago 1996,,789,824,27.67382071,,0.00,,,7.3,,,0
Chicago,Illinois,1997,Chicago 1997,,757,789,26.44731813,,0.00,,,6.8,,13543,0
Chicago,Illinois,1998,Chicago 1998,,703,757,24.46478498,,0.00,,,6.2,,,0
Chicago,Illinois,1999,Chicago 1999,,642,703,22.25502315,,0.00,,,6,,13346,0
Chicago,Illinois,2000,Chicago 2000,2895966,631,642,21.78892984,,0.00,,,5.5,36.8,13466,0
Chicago,Illinois,2001,Chicago 2001,2891582,666,631,23.03237467,,0.00,,,6.8,,,0
Chicago,Illinois,2002,Chicago 2002,2874477,648,666,22.54323134,,0.00,,,8.6,,,0
Chicago,Illinois,2003,Chicago 2003,2847266,598,648,21.0026039,,0.00,,,8.2,,13469,0
Chicago,Illinois,2004,Chicago 2004,2819117,448,598,15.89150078,,0.00,,,7.6,,,0
Chicago,Illinois,2005,Chicago 2005,2786291,448,448,16.07872257,,0.00,,,7.1,,,0
Chicago,Illinois,2006,Chicago 2006,2752523,468,448,17.00258272,,0.00,,,5.4,,,0
Chicago,Illinois,2007,Chicago 2007,2720181,443,468,16.28568099,,0.00,,,5.8,,13336,0
Chicago,Illinois,2008,Chicago 2008,2703991,510,443,18.86100952,,0.00,,,7,,,0
Chicago,Illinois,2009,Chicago 2009,2697359,458,510,16.9795715,,0.00,,,11.1,,,0
Chicago,Illinois,2010,Chicago 2010,2697529,432,458,16.01465638,,0.00,,,11.2,32.9,,0
Chicago,Illinois,2011,Chicago 2011,2708209,431,432,15.91457676,,0.00,,,10.8,,,0
Chicago,Illinois,2012,Chicago 2012,2719735,500,431,18.38414404,,0.00,,,10,,,0
Chicago,Illinois,2013,Chicago 2013,2726772,416,500,15.25613436,,0.00,,,10,,12042,0
Chicago,Illinois,2014,Chicago 2014,2728524,415,416,15.20968846,,0.00,,,7.8,,,0
Chicago,Illinois,2015,Chicago 2015,2726215,481,415,17.64350941,,0.00,,,6.6,,,0
Chicago,Illinois,2016,Chicago 2016,2718946,765,481,28.13590266,,0.00,,,6.4,,,0
Houston,Texas,1990,Houston 1990,1630553,568,,34.83480758,0.603873239,0.00,343,,6.1,,4201,0
Houston,Texas,1991,Houston 1991,,608,568,36.51952143,0.664473684,0.60,404,343,6.9,,,0
Houston,Texas,1992,Houston 1992,,465,608,27.36625405,0.666666667,0.66,310,404,8.6,,,0
Houston,Texas,1993,Houston 1993,,446,465,25.72854767,0.64573991,0.67,288,310,8.9,,4627,0
Houston,Texas,1994,Houston 1994,,375,446,21.21289088,0.650666667,0.65,244,288,8,,,0
Houston,Texas,1995,Houston 1995,,316,375,17.53506875,0.661392405,0.65,209,244,7.1,,,0
Houston,Texas,1996,Houston 1996,,261,316,14.21248924,0.685823755,0.66,179,209,6.5,,,0
Houston,Texas,1997,Houston 1997,,254,261,13.57763816,0.653543307,0.69,166,179,6.1,,5803,0
Houston,Texas,1998,Houston 1998,,254,254,13.33310237,0.700787402,0.65,178,166,5.1,,,0
Houston,Texas,1999,Houston 1999,,241,254,12.4268889,0.663900415,0.70,160,178,5.6,,5854,0
Houston,Texas,2000,Houston 2000,1973648,230,241,11.65354714,0.656521739,0.66,151,160,5,25.3,5343,0
Houston,Texas,2001,Houston 2001,1974324,267,230,13.52361618,0.662921348,0.66,177,151,5.4,,,0
Houston,Texas,2002,Houston 2002,1979589,256,267,12.93197729,0.72265625,0.66,185,177,7.1,,,0
Houston,Texas,2003,Houston 2003,1990408,278,256,13.96698566,0.571942446,0.72,159,185,7.9,,5350,0
Houston,Texas,2004,Houston 2004,1992464,272,278,13.65143862,0.595588235,0.57,162,159,7.2,,,0
Houston,Texas,2005,Houston 2005,1991817,334,272,16.76860876,0.589820359,0.60,197,162,5.9,,,0
Houston,Texas,2006,Houston 2006,1995773,377,334,18.88992385,0.700265252,0.59,264,197,5.2,,,0
Houston,Texas,2007,Houston 2007,2038721,351,377,17.21667653,0.774928775,0.70,272,264,4.2,,4892,0
Houston,Texas,2008,Houston 2008,2044612,294,351,14.37925631,0.891156463,0.77,262,272,4.6,,,0
Houston,Texas,2009,Houston 2009,2060477,287,294,13.92881357,0.703832753,0.89,202,262,7.3,,,0
Houston,Texas,2010,Houston 2010,2098446,269,287,12.81900988,0.869888476,0.70,234,202,8,23.7,,0
Houston,Texas,2011,Houston 2011,2124143,198,269,9.321406327,0.898989899,0.87,178,234,7.6,,,0
Houston,Texas,2012,Houston 2012,2160086,217,198,10.04589632,0.700460829,0.90,152,178,6.4,,,0
Houston,Texas,2013,Houston 2013,2198280,214,217,9.734883636,0.757009346,0.70,162,152,5.9,,5295,0
Houston,Texas,2014,Houston 2014,2240982,242,214,10.7988373,0.70661157,0.76,171,162,4.8,,,0
Houston,Texas,2015,Houston 2015,2286630,303,242,13.25094134,0.627062706,0.71,190,171,4.3,,,0
Houston,Texas,2016,Houston 2016,2309752,301,303,13.0317021,0.558139535,0.63,168,190,5,,,0
Philadelphia,Pennsylvania,1990,Philadelphia 1990,1585577,503,,31.72346723,0.75944334,0.56,382,,6.3,,6523,0
Philadelphia,Pennsylvania,1991,Philadelphia 1991,,440,503,27.86970911,0.8,0.76,352,382,8.9,,,0
Philadelphia,Pennsylvania,1992,Philadelphia 1992,,425,440,27.03608777,0.8,0.80,340,352,9.4,,,0
Philadelphia,Pennsylvania,1993,Philadelphia 1993,,439,425,28.04805354,0.715261959,0.80,314,340,9.3,,6422,0
Philadelphia,Pennsylvania,1994,Philadelphia 1994,,404,439,25.92454034,0.668316832,0.72,270,314,8.1,,,0
Philadelphia,Pennsylvania,1995,Philadelphia 1995,,432,404,27.84281955,0.655092593,0.67,283,270,7.7,,,0
Philadelphia,Pennsylvania,1996,Philadelphia 1996,,420,432,27.1886015,0.692857143,0.66,291,283,7.2,,,0
Philadelphia,Pennsylvania,1997,Philadelphia 1997,,418,420,27.17880729,0.655502392,0.69,274,291,6.8,,6784,0
